Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
28-01-2018,98451,87408,"{35745, 74625}","{66585, 02029, 56196, 66449, 78418, 27327}","{7598, 5994, 6242, 3634}","{6488, 2110, 6922, 9421, 3286, 5590}","{872, 187, 976}","{50, 94, 95, 43}"
29-01-2018,75547,01072,"{40135, 21672}","{65341, 42737, 01717, 36133, 78004, 58957}","{3026, 0388, 6953, 6672}","{4650, 9224, 1015, 2839, 5845, 8902}","{045, 970, 726}","{32, 94, 50, 33}"
30-01-2018,93729,17440,"{82465, 46991}","{41085, 93638, 42424, 07524, 38181, 60956}","{4099, 3602, 8857, 9075}","{2770, 5149, 2546, 0762, 4991, 8735}","{403, 683, 996}","{31, 57, 47, 20}"
31-01-2018,74348,51973,"{34847, 46622}","{08327, 15882, 30660, 28221, 74323, 54547}","{9454, 2153, 5289, 4551}","{3943, 1770, 8009, 8746, 3574, 2588}","{350, 515, 184}","{75, 86, 03, 10}"
01-02-2018,40951,72911,"{28373, 96155}","{38884, 64450, 82966, 30636, 03883, 40691}","{2188, 7344, 6571, 5842}","{5077, 9088, 7074, 6433, 1389, 7040}","{180, 804, 717}","{70, 42, 44, 03}"
02-02-2018,61573,15068,"{81305, 17862}","{93687, 00186, 91229, 56941, 88798, 42216}","{0275, 7725, 0274, 3400}","{3173, 7480, 7872, 3797, 1422, 5730}","{060, 302, 004}","{48, 23, 69, 70}"
03-02-2018,37601,93185,"{27008, 13479}","{80514, 22827, 16815, 20315, 12634, 34210}","{5575, 6106, 3757, 9579}","{9498, 5477, 2404, 5123, 3584, 8876}","{183, 867, 764}","{63, 40, 49, 03}"
04-02-2018,52643,44138,"{86890, 84230}","{61909, 20435, 67671, 71099, 26983, 14879}","{7367, 3475, 5465, 7974}","{4488, 6025, 1328, 6319, 2833, 6835}","{793, 289, 703}","{53, 03, 38, 32}"
05-02-2018,36829,46404,"{47407, 99156}","{41804, 74553, 36631, 05391, 50900, 26450}","{2085, 3669, 8686, 8555}","{2512, 3194, 2197, 1478, 9032, 1767}","{464, 471, 484}","{73, 41, 24, 77}"
06-02-2018,68495,10348,"{13926, 28933}","{05058, 03386, 86702, 53471, 39313, 79780}","{1485, 0837, 7593, 4217}","{2760, 8804, 1151, 3299, 5766, 0458}","{336, 173, 388}","{18, 54, 11, 98}"
07-02-2018,74825,35277,"{53717, 95181}","{49706, 95752, 86684, 28560, 95901, 37401}","{9693, 4415, 0004, 6255}","{3773, 1888, 3288, 1296, 2450, 1979}","{272, 243, 232}","{92, 64, 12, 80}"
08-02-2018,68975,46361,"{13926, 61553}","{61860, 29629, 26470, 25479, 96825, 85955}","{7862, 7148, 7044, 0127}","{1577, 5752, 2821, 3211, 8941, 4515}","{676, 983, 513}","{98, 15, 38, 85}"
09-02-2018,18625,75580,"{67854, 78266}","{53601, 21050, 15139, 98597, 28995, 71412}","{7053, 4977, 2394, 0302}","{6120, 8068, 4035, 5554, 8077, 5542}","{781, 368, 493}","{56, 94, 68, 50}"
10-02-2018,93481,18583,"{46889, 08699}","{73540, 72922, 88762, 12138, 07180, 78416}","{3404, 8630, 3802, 0054}","{2006, 5564, 2050, 3347, 9842, 9873}","{705, 866, 430}","{88, 15, 32, 05}"
11-02-2018,49568,09737,"{10008, 32376}","{35353, 45721, 98280, 65737, 53908, 34859}","{3698, 5722, 0937, 6979}","{1812, 7305, 5236, 9474, 2002, 6862}","{667, 125, 527}","{66, 10, 81, 63}"
12-02-2018,40999,51919,"{60177, 45050}","{14302, 83988, 11179, 14860, 59593, 03139}","{7500, 8277, 8533, 1766}","{3785, 6813, 6580, 2735, 3858, 6166}","{819, 139, 391}","{25, 02, 29, 95}"
13-02-2018,56489,57966,"{67123, 59792}","{92789, 63951, 07949, 97166, 53157, 61225}","{3063, 1152, 4902, 4131}","{5424, 7295, 4776, 1623, 3822, 1587}","{335, 553, 556}","{20, 78, 49, 80}"
14-02-2018,83871,40506,"{12326, 92120}","{63628, 97664, 85587, 15577, 78641, 45273}","{6382, 3993, 6696, 0900}","{9938, 5855, 2502, 1005, 6094, 0552}","{895, 284, 815}","{50, 60, 15, 12}"
19-02-2018,81908,53145,"{90629, 69735}","{30382, 60319, 83055, 26591, 54729, 08744}","{2854, 4371, 4738, 2051}","{5875, 5561, 8879, 1052, 7692, 8898}","{904, 598, 209}","{99, 05, 82, 42}"
20-02-2018,38528,11234,"{77412, 48500}","{37258, 51733, 78515, 92803, 69542, 34376}","{9311, 6446, 0314, 4091}","{1923, 1592, 4683, 6074, 2330, 1001}","{813, 084, 209}","{85, 14, 90, 83}"
21-02-2018,29059,31161,"{87842, 53997}","{73354, 78277, 25794, 90657, 74610, 37523}","{3375, 3443, 0061, 2797}","{2897, 9027, 2330, 0051, 8438, 0841}","{848, 437, 617}","{06, 05, 85, 77}"
22-02-2018,69965,48034,"{58813, 25488}","{81810, 68220, 02324, 66167, 74024, 47113}","{6591, 0834, 4117, 0891}","{6323, 7818, 9359, 0004, 5886, 0061}","{471, 495, 055}","{09, 90, 47, 65}"
23-02-2018,61444,48915,"{81984, 67377}","{93182, 21719, 63464, 72184, 03048, 34348}","{7359, 6060, 8852, 9547}","{2695, 7980, 8798, 7792, 4314, 1756}","{286, 816, 555}","{51, 92, 21, 02}"
24-02-2018,00154,67018,"{55135, 56128}","{90708, 86494, 18520, 62077, 02683, 25677}","{9406, 7398, 3720, 9188}","{2750, 3757, 0312, 9606, 3083, 0925}","{993, 114, 619}","{82, 45, 76, 72}"
25-02-2018,64510,09008,"{71487, 36603}","{66023, 89454, 82827, 22957, 17549, 17008}","{3722, 8070, 5731, 5338}","{6190, 5930, 8393, 8216, 5341, 5499}","{555, 452, 958}","{21, 29, 85, 35}"
26-02-2018,50039,30294,"{04781, 85789}","{85950, 93983, 00317, 79744, 92747, 20940}","{1802, 1239, 0431, 6228}","{0641, 2329, 3741, 6732, 1942, 6318}","{124, 702, 193}","{20, 04, 54, 60}"
27-02-2018,36366,92352,"{88884, 12671}","{28352, 65625, 57562, 65346, 34798, 38384}","{3803, 1723, 7207, 2276}","{9296, 6468, 0633, 9619, 1839, 0727}","{582, 895, 346}","{53, 79, 32, 11}"
28-02-2018,71657,84700,"{16392, 62229}","{73686, 30479, 43699, 51572, 62815, 14625}","{1915, 0637, 2911, 5413}","{0491, 2987, 1792, 7133, 6978, 3660}","{387, 786, 585}","{82, 56, 87, 61}"
01-03-2018,94228,65600,"{73694, 73812}","{55015, 58515, 05560, 36882, 89568, 13143}","{0799, 7129, 1657, 8504}","{8526, 6144, 0473, 2154, 1135, 7883}","{924, 809, 559}","{24, 99, 91, 12}"
02-03-2018,05180,16830,"{52319, 88685}","{50651, 77346, 90485, 77121, 93789, 88026}","{4926, 6976, 0537, 8804}","{1569, 9549, 2209, 2065, 3099, 2751}","{788, 481, 180}","{39, 68, 35, 79}"
03-03-2018,90586,60072,"{28719, 26258}","{06049, 38464, 23482, 08709, 39074, 51419}","{1122, 1538, 0256, 2956}","{0182, 5985, 1629, 2071, 3039, 8752}","{219, 159, 356}","{84, 52, 22, 31}"
04-03-2018,16873,28319,"{27102, 94927}","{28929, 27106, 77784, 88353, 86979, 30885}","{3619, 7966, 6558, 2339}","{1827, 5329, 5358, 6152, 8609, 0987}","{213, 159, 716}","{31, 15, 26, 89}"
05-03-2018,98565,40560,"{13926, 55752}","{00960, 43996, 77458, 55866, 96201, 48172}","{9519, 9179, 7579, 3626}","{3947, 8889, 5427, 7650, 4775, 4811}","{096, 998, 548}","{70, 56, 96, 57}"
06-03-2018,93060,79907,"{58018, 97198}","{77895, 77488, 03695, 04485, 99691, 97185}","{1093, 4879, 9583, 4975}","{2455, 7766, 1097, 8824, 4779, 8163}","{048, 815, 495}","{17, 65, 58, 94}"
07-03-2018,85983,16814,"{44750, 67850}","{22649, 89258, 86950, 51340, 23486, 11418}","{7713, 9110, 3341, 7024}","{8581, 3660, 1468, 1742, 7414, 0007}","{005, 602, 372}","{94, 06, 35, 82}"
