Date,Special Prize,First Prize,Second Prize
17-05-2018,87623,27274,"['73945', '99720']"
18-05-2018,38740,87804,"['97669', '68599']"
19-05-2018,15245,78955,"['03119', '26234']"
20-05-2018,32370,81373,"['36705', '53815']"
21-05-2018,06511,43116,"['05917', '85701']"
22-05-2018,81330,19024,"['18124', '78679']"
23-05-2018,37544,86683,"['89324', '68549']"
24-05-2018,42876,19449,"['26883', '48018']"
25-05-2018,89936,92694,"['62170', '63572']"
26-05-2018,70873,33167,"['37308', '09513']"
27-05-2018,63408,31831,"['14085', '55434']"
28-05-2018,44938,04780,"['80423', '36967']"
29-05-2018,26997,04205,"['70919', '61560']"
30-05-2018,43163,33920,"['75186', '47672']"
31-05-2018,93554,26591,"['49386', '21230']"
01-06-2018,99872,54324,"['62621', '44191']"
02-06-2018,79685,40436,"['21818', '95211']"
03-06-2018,97900,09139,"['18583', '30648']"
04-06-2018,68083,83321,"['19752', '31140']"
05-06-2018,08485,84704,"['31064', '25954']"
06-06-2018,66175,05297,"['18104', '92519']"
07-06-2018,45882,14666,"['25630', '57640']"
08-06-2018,27538,45413,"['17225', '37946']"
09-06-2018,54099,15572,"['54382', '51227']"
10-06-2018,01603,91334,"['83866', '57967']"
11-06-2018,35854,55456,"['36398', '06618']"
12-06-2018,64199,48878,"['45906', '36352']"
13-06-2018,03937,30381,"['94879', '73381']"
14-06-2018,54343,72457,"['87110', '31630']"
15-06-2018,70145,64580,"['94447', '20335']"
16-06-2018,81948,16974,"['18720', '04766']"
17-06-2018,83564,01838,"['44635', '90054']"
18-06-2018,86133,56697,"['41104', '06349']"
19-06-2018,15489,86695,"['68207', '67905']"
20-06-2018,81615,64598,"['77577', '15569']"
21-06-2018,57997,17000,"['68636', '22107']"
22-06-2018,03183,31658,"['19745', '36684']"
23-06-2018,50296,57174,"['73432', '78564']"
24-06-2018,46249,34611,"['86992', '07282']"
25-06-2018,01883,29234,"['29864', '58259']"
26-06-2018,53992,17382,"['81293', '53582']"
27-06-2018,31098,46842,"['77102', '20574']"
28-06-2018,51594,59303,"['01017', '47499']"
29-06-2018,66983,94158,"['09557', '20514']"
30-06-2018,02442,04043,"['58195', '74126']"
01-07-2018,66017,37700,"['42062', '57696']"
02-07-2018,23587,78302,"['01894', '49918']"
03-07-2018,09530,32834,"['96513', '27795']"
04-07-2018,31995,02855,"['60477', '48820']"
05-07-2018,92295,80208,"['26383', '03453']"
06-07-2018,93514,07894,"['96887', '00582']"
07-07-2018,41967,63209,"['40959', '62787']"
08-07-2018,75299,77412,"['14075', '45755']"
09-07-2018,14845,69900,"['28840', '83539']"
10-07-2018,76157,85182,"['39521', '44012']"
11-07-2018,19854,89656,"['02068', '68949']"
12-07-2018,09965,77633,"['77574', '43142']"
13-07-2018,48401,89498,"['33695', '17361']"
14-07-2018,78023,30328,"['86794', '35471']"
15-07-2018,84740,15088,"['83141', '38821']"
16-07-2018,44371,38326,"['10518', '38657']"
17-07-2018,88323,12739,"['33074', '36293']"
18-07-2018,09669,89036,"['40022', '59729']"
19-07-2018,15817,47188,"['74251', '32807']"
20-07-2018,32749,15995,"['01892', '11453']"
21-07-2018,16268,70185,"['09860', '56217']"
22-07-2018,77892,58381,"['22268', '51927']"
23-07-2018,95786,50864,"['62554', '03768']"
24-07-2018,91570,97669,"['97482', '01367']"
25-07-2018,43841,33562,"['27053', '38107']"
26-07-2018,59356,54715,"['81111', '59595']"
27-07-2018,69031,60280,"['63676', '53151']"
28-07-2018,20833,16272,"['12917', '65181']"
29-07-2018,69492,88817,"['28702', '13720']"
30-07-2018,19672,28906,"['78784', '92305']"
31-07-2018,28236,77456,"['36893', '89823']"
01-08-2018,41128,84415,"['04755', '58311']"
02-08-2018,25638,36202,"['86786', '74188']"
03-08-2018,49786,41963,"['22436', '09007']"
04-08-2018,88624,96792,"['34453', '34579']"
05-08-2018,92138,14223,"['49049', '81078']"
06-08-2018,84214,48733,"['53775', '08672']"
07-08-2018,12723,66716,"['23425', '28390']"
08-08-2018,90929,78718,"['87900', '14335']"
09-08-2018,47717,74225,"['30885', '73525']"
10-08-2018,93681,32897,"['26769', '73802']"
11-08-2018,10460,50896,"['23618', '35499']"
12-08-2018,46677,00916,"['78280', '66177']"
13-08-2018,62149,81906,"['01726', '77637']"
14-08-2018,79386,76807,"['37122', '24309']"
15-08-2018,33662,56108,"['01914', '79749']"
16-08-2018,89187,67700,"['08153', '74389']"
17-08-2018,92527,98631,"['19670', '10736']"
18-08-2018,00177,22289,"['57860', '48409']"
19-08-2018,11219,41453,"['06491', '76098']"
20-08-2018,93757,35604,"['61096', '44364']"
21-08-2018,92056,38670,"['79011', '93194']"
22-08-2018,57873,92920,"['52262', '09941']"
23-08-2018,48935,24089,"['81487', '13646']"
24-08-2018,63517,65257,"['31320', '07516']"
25-08-2018,54360,20770,"['14712', '14224']"
26-08-2018,85081,60157,"['13104', '05763']"
27-08-2018,52987,48260,"['05409', '53235']"
28-08-2018,33327,91427,"['23383', '87975']"
29-08-2018,19187,04512,"['15170', '24843']"
30-08-2018,14660,69109,"['01738', '26007']"
31-08-2018,21067,47999,"['30963', '18239']"
01-09-2018,48319,53019,"['59429', '91748']"
02-09-2018,19640,50576,"['71187', '68099']"
03-09-2018,52049,32103,"['71765', '05208']"
04-09-2018,64308,39425,"['92148', '38543']"
05-09-2018,93788,28935,"['47843', '79818']"
06-09-2018,00964,81705,"['63977', '61734']"
07-09-2018,49197,76534,"['11538', '54319']"
08-09-2018,66915,12941,"['16217', '84509']"
09-09-2018,24453,35025,"['93208', '15040']"
10-09-2018,51845,79786,"['68693', '00853']"
11-09-2018,50040,39748,"['64849', '99027']"
12-09-2018,81156,02127,"['46925', '25167']"
13-09-2018,45562,73735,"['01598', '69120']"
14-09-2018,21588,03788,"['52146', '59004']"
15-09-2018,59077,60870,"['44532', '40380']"
16-09-2018,32963,57442,"['22529', '01533']"
17-09-2018,93143,33294,"['36194', '84505']"
18-09-2018,91720,46238,"['85437', '02342']"
19-09-2018,96177,66140,"['94217', '08508']"
20-09-2018,03096,58682,"['04578', '29574']"
21-09-2018,31221,67255,"['44069', '84551']"
22-09-2018,29578,41490,"['77307', '19069']"
23-09-2018,12662,00576,"['93787', '32156']"
24-09-2018,69569,61203,"['73263', '18649']"
25-09-2018,69654,16245,"['33225', '02470']"
26-09-2018,49222,63538,"['71869', '77421']"
27-09-2018,14915,55465,"['93226', '31112']"
28-09-2018,79356,52734,"['90892', '93815']"
29-09-2018,08030,38852,"['56136', '06754']"
30-09-2018,68455,71702,"['21635', '80267']"
01-10-2018,29665,98527,"['63140', '87660']"
02-10-2018,75644,57606,"['63674', '36148']"
03-10-2018,58237,86386,"['55618', '55079']"
04-10-2018,26134,43013,"['00852', '99445']"
05-10-2018,04926,29442,"['52202', '31234']"
06-10-2018,68515,39283,"['46685', '56957']"
07-10-2018,99739,89184,"['40921', '60155']"
08-10-2018,06832,53145,"['53763', '29084']"
09-10-2018,99135,03401,"['22416', '69194']"
10-10-2018,90043,23708,"['15164', '14003']"
11-10-2018,75705,94181,"['77276', '26909']"
12-10-2018,68218,50910,"['32356', '28617']"
13-10-2018,48145,09500,"['30105', '15223']"
14-10-2018,35128,62713,"['20359', '73758']"
15-10-2018,47019,34645,"['75635', '81081']"
16-10-2018,82524,34244,"['34070', '44290']"
17-10-2018,39416,60168,"['20593', '20897']"
18-10-2018,22850,82277,"['81096', '93261']"
19-10-2018,91214,39092,"['49787', '32635']"
20-10-2018,72328,18300,"['24627', '00463']"
21-10-2018,15132,40702,"['72270', '67668']"
22-10-2018,81258,34812,"['71321', '79016']"
23-10-2018,08662,26799,"['64523', '44627']"
24-10-2018,23203,26852,"['05550', '03752']"
25-10-2018,72838,11591,"['24855', '60826']"
26-10-2018,78933,66194,"['19968', '83083']"
27-10-2018,13194,32444,"['78344', '53632']"
28-10-2018,68886,01023,"['89540', '85790']"
29-10-2018,23974,69288,"['38606', '73498']"
30-10-2018,42318,76832,"['08069', '26211']"
31-10-2018,59535,35859,"['72824', '27415']"
01-11-2018,51489,75455,"['17943', '89793']"
02-11-2018,54448,57599,"['34440', '45550']"
03-11-2018,14832,84157,"['97791', '02659']"
04-11-2018,15844,87994,"['91350', '19050']"
05-11-2018,01524,36489,"['21543', '06276']"
06-11-2018,70455,17222,"['50921', '20383']"
07-11-2018,89911,94946,"['70934', '74050']"
08-11-2018,33079,50330,"['15832', '26494']"
09-11-2018,45669,36231,"['59491', '47711']"
10-11-2018,04284,15217,"['77215', '58638']"
11-11-2018,65771,12518,"['35791', '13320']"
12-11-2018,20970,22084,"['00209', '87804']"
13-11-2018,07459,27920,"['98362', '95934']"
14-11-2018,25841,21941,"['20499', '10901']"
15-11-2018,33888,35255,"['62327', '34168']"
16-11-2018,52348,43720,"['40817', '07830']"
17-11-2018,96702,07964,"['60948', '79428']"
18-11-2018,16644,23276,"['54064', '35249']"
19-11-2018,38201,04391,"['89226', '43465']"
20-11-2018,02322,55967,"['14008', '26166']"
21-11-2018,79721,35182,"['70427', '13696']"
22-11-2018,95565,90319,"['52484', '84494']"
23-11-2018,06414,72962,"['89200', '38949']"
24-11-2018,90956,97789,"['76056', '87878']"
25-11-2018,34635,29713,"['17610', '95811']"
26-11-2018,74033,25383,"['76181', '71283']"
27-11-2018,44616,30640,"['77757', '01553']"
