Date,Special Prize,First Prize,Second Prize
12-08-2019,69859,22652,"['72436', '02029']"
13-08-2019,93981,78798,"['81390', '72012']"
14-08-2019,10584,25712,"['80449', '61871']"
15-08-2019,17474,61235,"['40921', '75577']"
16-08-2019,65374,36834,"['47251', '79171']"
17-08-2019,84598,21843,"['81281', '23128']"
18-08-2019,07111,64084,"['81079', '44180']"
19-08-2019,91082,91467,"['81562', '69297']"
20-08-2019,41265,73061,"['87238', '32032']"
21-08-2019,78137,35819,"['48856', '11248']"
22-08-2019,56093,64281,"['58617', '29398']"
23-08-2019,79347,21963,"['12818', '83766']"
24-08-2019,25362,12645,"['59625', '58990']"
25-08-2019,97301,24276,"['41864', '95944']"
26-08-2019,58963,95499,"['46867', '37259']"
27-08-2019,59662,59098,"['23795', '42858']"
28-08-2019,41362,43349,"['44385', '30892']"
29-08-2019,89773,76425,"['75302', '01236']"
30-08-2019,52766,33040,"['22888', '21272']"
31-08-2019,70560,42546,"['22099', '14478']"
01-09-2019,61697,26468,"['16660', '81453']"
02-09-2019,40725,77727,"['11421', '33009']"
03-09-2019,91254,37095,"['71323', '56977']"
04-09-2019,41784,40530,"['58805', '88316']"
05-09-2019,30051,43294,"['48137', '43790']"
06-09-2019,58517,15045,"['36548', '93310']"
07-09-2019,97616,01357,"['82135', '66464']"
08-09-2019,44868,77679,"['63505', '91051']"
09-09-2019,52783,00917,"['80560', '79345']"
10-09-2019,82811,67742,"['07532', '17147']"
11-09-2019,53841,32820,"['25167', '87437']"
12-09-2019,75717,46105,"['80273', '26932']"
13-09-2019,82182,68797,"['12518', '28491']"
14-09-2019,81843,53557,"['76583', '53032']"
15-09-2019,42303,57562,"['02519', '07032']"
16-09-2019,03797,21429,"['86632', '32396']"
17-09-2019,86201,44072,"['82825', '80905']"
18-09-2019,10846,09403,"['36095', '54578']"
19-09-2019,80620,39822,"['69856', '74778']"
20-09-2019,02376,28487,"['31125', '61008']"
21-09-2019,71778,84659,"['01187', '44538']"
22-09-2019,03074,25607,"['77712', '01518']"
23-09-2019,92329,47959,"['26660', '46653']"
24-09-2019,33024,65468,"['69336', '28902']"
25-09-2019,87259,76213,"['72524', '92822']"
26-09-2019,83657,83729,"['65071', '07225']"
27-09-2019,98278,81201,"['23668', '16446']"
28-09-2019,59416,23193,"['71438', '72814']"
29-09-2019,37124,23134,"['14136', '04986']"
30-09-2019,91964,44486,"['20614', '37194']"
01-10-2019,19515,79821,"['18986', '56666']"
02-10-2019,23881,29195,"['26316', '95673']"
03-10-2019,17227,10166,"['42373', '61482']"
04-10-2019,78051,50790,"['13999', '29250']"
05-10-2019,04752,41831,"['15044', '57125']"
06-10-2019,24275,61941,"['03566', '31129']"
07-10-2019,94200,05557,"['44803', '71106']"
08-10-2019,77901,30229,"['89226', '79477']"
09-10-2019,65084,40720,"['61170', '60426']"
10-10-2019,44946,42387,"['29469', '81886']"
11-10-2019,16768,74300,"['56212', '38614']"
12-10-2019,31409,37692,"['29170', '60347']"
13-10-2019,75348,81461,"['56878', '00843']"
14-10-2019,64511,54757,"['74321', '64217']"
15-10-2019,45930,04047,"['45958', '97520']"
16-10-2019,83641,45905,"['08190', '23554']"
17-10-2019,16461,60560,"['10958', '98368']"
18-10-2019,65897,62332,"['70093', '65042']"
19-10-2019,29598,58642,"['87766', '14197']"
20-10-2019,23749,48495,"['89676', '72788']"
21-10-2019,72174,55833,"['54527', '54789']"
22-10-2019,17237,82273,"['39668', '29929']"
23-10-2019,08753,23074,"['53796', '44995']"
24-10-2019,65074,54557,"['75914', '57738']"
25-10-2019,88584,01811,"['25902', '14580']"
26-10-2019,63309,82597,"['01042', '45534']"
27-10-2019,24116,31797,"['11033', '06489']"
28-10-2019,96139,56197,"['14825', '14149']"
29-10-2019,42342,41504,"['27155', '37714']"
30-10-2019,40698,13263,"['18823', '02599']"
31-10-2019,88962,54054,"['70333', '47439']"
01-11-2019,23568,89592,"['22392', '51423']"
02-11-2019,93894,36798,"['56510', '41495']"
03-11-2019,40911,97704,"['79238', '75235']"
04-11-2019,56043,49752,"['77348', '51039']"
05-11-2019,63990,01134,"['71610', '17521']"
06-11-2019,46181,06584,"['81119', '36209']"
07-11-2019,87024,45295,"['42291', '85731']"
08-11-2019,37892,75605,"['98138', '89024']"
09-11-2019,26502,25577,"['32963', '84850']"
10-11-2019,23310,27335,"['69710', '90559']"
11-11-2019,04116,18344,"['96935', '29509']"
12-11-2019,36744,95233,"['21962', '39539']"
13-11-2019,29618,14439,"['14754', '71727']"
14-11-2019,86358,65126,"['33802', '41801']"
15-11-2019,09208,06347,"['77886', '81535']"
16-11-2019,01682,46487,"['45968', '79292']"
17-11-2019,25000,39087,"['11213', '99168']"
18-11-2019,93484,21147,"['19755', '10560']"
19-11-2019,19942,50640,"['30233', '16299']"
20-11-2019,72751,52665,"['21605', '49004']"
21-11-2019,15315,20924,"['58886', '08284']"
22-11-2019,75178,51146,"['71345', '82930']"
23-11-2019,89736,24489,"['93261', '14968']"
24-11-2019,31742,79883,"['88824', '79627']"
25-11-2019,30468,69114,"['43626', '50636']"
26-11-2019,16031,85310,"['69892', '32691']"
27-11-2019,34257,83079,"['32463', '66123']"
28-11-2019,23232,38589,"['20371', '92532']"
29-11-2019,40803,78281,"['35405', '76878']"
30-11-2019,36896,40418,"['45200', '55320']"
01-12-2019,57187,78389,"['22048', '97259']"
02-12-2019,28797,56813,"['10789', '25351']"
03-12-2019,91897,97144,"['45720', '05846']"
04-12-2019,79119,92770,"['19232', '66664']"
05-12-2019,22867,79221,"['24742', '82193']"
06-12-2019,82830,97828,"['51651', '94234']"
07-12-2019,60238,57799,"['11209', '23021']"
08-12-2019,70840,48639,"['81448', '53586']"
09-12-2019,55076,95857,"['30076', '21812']"
10-12-2019,99233,04048,"['90872', '74919']"
11-12-2019,45585,26900,"['47799', '47976']"
12-12-2019,02447,23701,"['94768', '43773']"
13-12-2019,30476,17496,"['47249', '90117']"
14-12-2019,46694,27845,"['12778', '89706']"
15-12-2019,20806,49281,"['65901', '43508']"
16-12-2019,28068,81159,"['61513', '03897']"
17-12-2019,83022,46760,"['17434', '29796']"
18-12-2019,26849,69095,"['66115', '90368']"
19-12-2019,46081,65929,"['60800', '01964']"
20-12-2019,76684,41910,"['06910', '30143']"
21-12-2019,24148,45828,"['57085', '32091']"
22-12-2019,43242,56186,"['16829', '17344']"
23-12-2019,70724,59175,"['43469', '66412']"
24-12-2019,75726,42916,"['94443', '09818']"
25-12-2019,15181,85030,"['79992', '51324']"
26-12-2019,05939,33589,"['95549', '00419']"
27-12-2019,04477,86108,"['16664', '65637']"
28-12-2019,95201,21900,"['15098', '67305']"
29-12-2019,31701,22760,"['49305', '35026']"
30-12-2019,18988,48668,"['47991', '35657']"
31-12-2019,94908,49302,"['18108', '56186']"
01-01-2020,32905,86851,"['69764', '91081']"
02-01-2020,73604,27909,"['96677', '59182']"
03-01-2020,19143,80801,"['41658', '64482']"
04-01-2020,54949,08119,"['18807', '83419']"
05-01-2020,45721,49581,"['90193', '05073']"
06-01-2020,14012,27116,"['49045', '61784']"
07-01-2020,14954,86395,"['65230', '44442']"
08-01-2020,78804,05932,"['92923', '97549']"
09-01-2020,91574,89090,"['67375', '62647']"
10-01-2020,26396,07249,"['62280', '65932']"
11-01-2020,33658,32909,"['67989', '61821']"
12-01-2020,90880,20246,"['07376', '98111']"
13-01-2020,41244,61359,"['02004', '72103']"
14-01-2020,32164,40635,"['37076', '15567']"
15-01-2020,26710,35188,"['25581', '88005']"
16-01-2020,72782,22594,"['39470', '47122']"
17-01-2020,97571,47197,"['47647', '17744']"
18-01-2020,34706,91118,"['29837', '38146']"
19-01-2020,70921,78137,"['52621', '09836']"
20-01-2020,12850,03659,"['26439', '17297']"
21-01-2020,38897,09947,"['29502', '67025']"
22-01-2020,96449,52583,"['93321', '98092']"
23-01-2020,16875,50936,"['00828', '85363']"
28-01-2020,50940,61595,"['62673', '20963']"
29-01-2020,80389,25483,"['88063', '96879']"
30-01-2020,75712,18292,"['96758', '11823']"
31-01-2020,49715,85264,"['96066', '05684']"
01-02-2020,72130,80885,"['17263', '71468']"
02-02-2020,79434,49618,"['79266', '18958']"
03-02-2020,63107,48878,"['90850', '97357']"
04-02-2020,44410,80399,"['60233', '19813']"
05-02-2020,97615,16340,"['89362', '29868']"
06-02-2020,26275,35468,"['15859', '88339']"
07-02-2020,14973,31007,"['98439', '51996']"
08-02-2020,22191,97112,"['40888', '39940']"
09-02-2020,60347,72943,"['52500', '63708']"
10-02-2020,96045,92206,"['82719', '89221']"
11-02-2020,07696,05052,"['30163', '69705']"
12-02-2020,19747,36897,"['52338', '58777']"
13-02-2020,54232,25908,"['23623', '36836']"
14-02-2020,51855,08402,"['81863', '94490']"
15-02-2020,47417,56746,"['02208', '90927']"
16-02-2020,00776,68932,"['60349', '63294']"
17-02-2020,99817,69356,"['53268', '37870']"
18-02-2020,06616,32033,"['10879', '99942']"
19-02-2020,90398,38353,"['12735', '48565']"
20-02-2020,22204,15061,"['10606', '26736']"
21-02-2020,36089,26541,"['33678', '81840']"
22-02-2020,37647,52140,"['89553', '90068']"
23-02-2020,36144,93004,"['25702', '82940']"
24-02-2020,91609,82206,"['26860', '61989']"
25-02-2020,37376,12891,"['22279', '64999']"
26-02-2020,23146,98019,"['87234', '29114']"
27-02-2020,26422,29343,"['35383', '77943']"
28-02-2020,45982,62271,"['76182', '59955']"
29-02-2020,80805,71818,"['88766', '13763']"
01-03-2020,04635,24477,"['92504', '48155']"
02-03-2020,73787,32978,"['82365', '65300']"
03-03-2020,38823,33276,"['12937', '37028']"
04-03-2020,51223,77441,"['02185', '05377']"
05-03-2020,52991,47359,"['44551', '54484']"
06-03-2020,78854,13173,"['62902', '03693']"
07-03-2020,87368,73173,"['27036', '54544']"
08-03-2020,55060,09692,"['35242', '33557']"
09-03-2020,95973,03777,"['43096', '02288']"
10-03-2020,83549,12329,"['92542', '35165']"
11-03-2020,29224,68194,"['43580', '38840']"
12-03-2020,74951,27007,"['55721', '08593']"
13-03-2020,73118,09141,"['98087', '40822']"
14-03-2020,18915,50209,"['46360', '69622']"
15-03-2020,18901,74415,"['31161', '20773']"
16-03-2020,28322,07557,"['65702', '27990']"
17-03-2020,52267,49403,"['94349', '97172']"
18-03-2020,81489,16279,"['16833', '13453']"
19-03-2020,85074,33372,"['86985', '36432']"
20-03-2020,85736,50768,"['07778', '01694']"
21-03-2020,55521,17703,"['75598', '49924']"
22-03-2020,46024,31360,"['46433', '27853']"
23-03-2020,36123,74096,"['74963', '90401']"
24-03-2020,31578,73112,"['34793', '13159']"
25-03-2020,54296,54643,"['85240', '19833']"
26-03-2020,94135,22095,"['09748', '36993']"
27-03-2020,33555,52557,"['50894', '51062']"
28-03-2020,91159,40109,"['87459', '66379']"
29-03-2020,28914,63988,"['66992', '90797']"
30-03-2020,42902,92559,"['98712', '08709']"
31-03-2020,98819,44179,"['96294', '96108']"
23-04-2020,54503,52470,"['22018', '38528']"
24-04-2020,69550,91137,"['77402', '41845']"
25-04-2020,46625,35206,"['37924', '07487']"
26-04-2020,90667,18768,"['61098', '82819']"
27-04-2020,77561,86201,"['33416', '13287']"
28-04-2020,69063,34806,"['31536', '32927']"
29-04-2020,97298,00962,"['79229', '50233']"
30-04-2020,06702,26083,"['13622', '41709']"
01-05-2020,29166,05369,"['19343', '16172']"
02-05-2020,82632,20684,"['31934', '37670']"
03-05-2020,08247,89507,"['37009', '55789']"
04-05-2020,36662,62017,"['63184', '55310']"
05-05-2020,56872,45029,"['35063', '71698']"
06-05-2020,03336,87945,"['97226', '51794']"
07-05-2020,83382,20244,"['47001', '08910']"
08-05-2020,67241,56017,"['77028', '65457']"
09-05-2020,71770,50898,"['69799', '71237']"
10-05-2020,32765,48805,"['42980', '16309']"
11-05-2020,02419,49825,"['45280', '80176']"
12-05-2020,35009,75293,"['07897', '24629']"
13-05-2020,12795,32463,"['24668', '25372']"
14-05-2020,33963,33143,"['86475', '79746']"
15-05-2020,41795,53938,"['34631', '73859']"
16-05-2020,75146,18878,"['63961', '81730']"
17-05-2020,76380,11164,"['70535', '58134']"
18-05-2020,44554,74463,"['80449', '42949']"
19-05-2020,96600,55015,"['27792', '07534']"
20-05-2020,51265,76785,"['82841', '29964']"
21-05-2020,58738,31202,"['79074', '29741']"
22-05-2020,27298,91982,"['77118', '97508']"
23-05-2020,98991,71131,"['17093', '47125']"
24-05-2020,81779,30531,"['03586', '66082']"
25-05-2020,67211,38314,"['77817', '84447']"
26-05-2020,29154,10231,"['72151', '37224']"
27-05-2020,06561,61403,"['18807', '00310']"
28-05-2020,09913,61778,"['49244', '25187']"
29-05-2020,97954,21263,"['33611', '77358']"
30-05-2020,59964,86926,"['35850', '92115']"
31-05-2020,83834,40366,"['54794', '04325']"
01-06-2020,62323,07533,"['95966', '65361']"
02-06-2020,79222,47910,"['87767', '34726']"
03-06-2020,62500,12536,"['35103', '57732']"
04-06-2020,76278,45337,"['95912', '63431']"
05-06-2020,79913,01136,"['98576', '99322']"
06-06-2020,18932,33537,"['02328', '36234']"
07-06-2020,88039,66654,"['72928', '15628']"
08-06-2020,56860,12818,"['99675', '91682']"
09-06-2020,27570,53306,"['70596', '53264']"
10-06-2020,63530,72560,"['84474', '29043']"
11-06-2020,76634,74218,"['64183', '75619']"
12-06-2020,51903,86977,"['82649', '53855']"
13-06-2020,93761,04667,"['47532', '87951']"
14-06-2020,36374,23994,"['88493', '28214']"
15-06-2020,75952,07700,"['69742', '24824']"
16-06-2020,94962,57945,"['53897', '87741']"
17-06-2020,02517,36218,"['82959', '24644']"
18-06-2020,38289,26120,"['00224', '00014']"
19-06-2020,04630,57457,"['93913', '76246']"
20-06-2020,18969,42537,"['59784', '50379']"
21-06-2020,25127,98702,"['02811', '83835']"
22-06-2020,67617,54083,"['70006', '04609']"
23-06-2020,34062,78556,"['07801', '53366']"
24-06-2020,80610,03759,"['58529', '27901']"
25-06-2020,46982,96351,"['95546', '36874']"
26-06-2020,01316,06155,"['25162', '84573']"
27-06-2020,74236,22390,"['94698', '06978']"
28-06-2020,36351,57190,"['82085', '17293']"
29-06-2020,66720,47882,"['19356', '60457']"
30-06-2020,67229,25778,"['32027', '27889']"
01-07-2020,44435,95361,"['32743', '77297']"
02-07-2020,61129,69904,"['71780', '01538']"
03-07-2020,58827,67119,"['20017', '74828']"
04-07-2020,77775,02917,"['92075', '95679']"
05-07-2020,11070,81900,"['93541', '83224']"
06-07-2020,25470,33022,"['49883', '27761']"
07-07-2020,73860,79082,"['31767', '70928']"
08-07-2020,83783,39712,"['10337', '75074']"
09-07-2020,78091,01297,"['71417', '61080']"
10-07-2020,77969,17076,"['84622', '23564']"
11-07-2020,03116,23757,"['55962', '84187']"
12-07-2020,28890,64908,"['02124', '88693']"
13-07-2020,20508,40309,"['98200', '33400']"
14-07-2020,44789,32941,"['51939', '62426']"
15-07-2020,70102,04547,"['46037', '31401']"
16-07-2020,24511,08388,"['88927', '12190']"
17-07-2020,60814,94807,"['65879', '80885']"
18-07-2020,06586,88992,"['09870', '08582']"
19-07-2020,08834,59281,"['72814', '05319']"
20-07-2020,30629,78151,"['99590', '45587']"
21-07-2020,51088,14023,"['06619', '48663']"
22-07-2020,20942,20585,"['35075', '48896']"
23-07-2020,09592,52844,"['92361', '06335']"
24-07-2020,57597,30231,"['47152', '94758']"
25-07-2020,22508,51355,"['52122', '81399']"
26-07-2020,71154,76972,"['86553', '71613']"
27-07-2020,38931,42099,"['09443', '44948']"
28-07-2020,91382,37651,"['63205', '39553']"
29-07-2020,63717,68586,"['28579', '09181']"
30-07-2020,45563,38211,"['20937', '32223']"
31-07-2020,14362,38252,"['63687', '65066']"
01-08-2020,86012,32501,"['65179', '29479']"
02-08-2020,57611,53204,"['45723', '66225']"
03-08-2020,02836,17739,"['83199', '41288']"
04-08-2020,11617,14482,"['90947', '57775']"
05-08-2020,18296,78477,"['45550', '43096']"
06-08-2020,25375,73575,"['73055', '08586']"
07-08-2020,43614,70914,"['30674', '50335']"
08-08-2020,12958,48295,"['79843', '42443']"
09-08-2020,83138,37935,"['05646', '04485']"
10-08-2020,98628,34931,"['16344', '00912']"
11-08-2020,40128,22936,"['71459', '13299']"
12-08-2020,36852,04571,"['25712', '59956']"
13-08-2020,42857,14375,"['06709', '75922']"
14-08-2020,59514,53806,"['16990', '48968']"
15-08-2020,57980,51783,"['06908', '23742']"
16-08-2020,82147,46138,"['92251', '73827']"
17-08-2020,30548,06085,"['25925', '06707']"
18-08-2020,72437,05561,"['71542', '25911']"
19-08-2020,95501,48913,"['20016', '80029']"
20-08-2020,30880,34811,"['92416', '40570']"
21-08-2020,57454,69699,"['06505', '98439']"
22-08-2020,81535,47488,"['45464', '83514']"
23-08-2020,47441,25173,"['26810', '40670']"
24-08-2020,49316,79556,"['05269', '15619']"
25-08-2020,67659,14080,"['10512', '26074']"
26-08-2020,77882,52797,"['53835', '67957']"
27-08-2020,76496,95110,"['87190', '62346']"
28-08-2020,17448,89523,"['99645', '89475']"
29-08-2020,78305,77359,"['83190', '03283']"
30-08-2020,73783,33282,"['58148', '89453']"
31-08-2020,56358,96104,"['34484', '70300']"
01-09-2020,62557,41211,"['58893', '44992']"
02-09-2020,45148,97339,"['16906', '46858']"
03-09-2020,80180,01877,"['35594', '24534']"
04-09-2020,15580,79107,"['73712', '42181']"
05-09-2020,52085,00030,"['56742', '42861']"
06-09-2020,01993,03278,"['51213', '94865']"
07-09-2020,13853,50752,"['61125', '92255']"
08-09-2020,22022,53249,"['12116', '21873']"
09-09-2020,88000,06019,"['12893', '98827']"
10-09-2020,81320,66553,"['90953', '75895']"
11-09-2020,16129,69128,"['72785', '45940']"
12-09-2020,51880,88005,"['25771', '26029']"
13-09-2020,28463,11841,"['65265', '03892']"
14-09-2020,32489,32685,"['87995', '85227']"
15-09-2020,23030,91709,"['85782', '29769']"
16-09-2020,89582,71120,"['80529', '90561']"
17-09-2020,04170,71985,"['43509', '16141']"
18-09-2020,20290,28162,"['39930', '04541']"
19-09-2020,54004,72588,"['90168', '50167']"
20-09-2020,05042,66900,"['03482', '31797']"
21-09-2020,68757,12181,"['13951', '12884']"
22-09-2020,87486,91069,"['65300', '14647']"
23-09-2020,97711,12267,"['16032', '77137']"
24-09-2020,87082,76056,"['80203', '89491']"
25-09-2020,98018,47391,"['46411', '34513']"
26-09-2020,17069,46324,"['45753', '22997']"
27-09-2020,37546,25331,"['51459', '66569']"
28-09-2020,96331,53485,"['55959', '13496']"
29-09-2020,59323,12312,"['58611', '02021']"
30-09-2020,64268,90923,"['96597', '86668']"
01-10-2020,03418,94194,"['66790', '17023']"
02-10-2020,99600,25157,"['41602', '01801']"
03-10-2020,49797,35496,"['91712', '19994']"
04-10-2020,80489,60525,"['29489', '40090']"
05-10-2020,20823,08394,"['17392', '35179']"
06-10-2020,34965,91685,"['89331', '22853']"
07-10-2020,19665,99139,"['08653', '04815']"
08-10-2020,09726,69001,"['88521', '72106']"
09-10-2020,60541,68899,"['42547', '04938']"
10-10-2020,52248,01993,"['73977', '89571']"
11-10-2020,82094,58766,"['86108', '28009']"
12-10-2020,25618,70158,"['66040', '22038']"
13-10-2020,46266,06681,"['35295', '22887']"
14-10-2020,77616,85409,"['37819', '19062']"
15-10-2020,62428,42840,"['13867', '38422']"
16-10-2020,14408,28308,"['99131', '68897']"
17-10-2020,99469,18769,"['94451', '50102']"
18-10-2020,62319,09060,"['40484', '02900']"
19-10-2020,18225,46995,"['70204', '95090']"
20-10-2020,90157,49318,"['41817', '93470']"
21-10-2020,07043,44111,"['38003', '35799']"
22-10-2020,48879,43896,"['96795', '72578']"
23-10-2020,06125,02898,"['91024', '05454']"
24-10-2020,43128,44563,"['98690', '24861']"
25-10-2020,32436,67377,"['91005', '18755']"
26-10-2020,77946,90034,"['02124', '59163']"
27-10-2020,45538,70385,"['97679', '89919']"
28-10-2020,07707,37394,"['74883', '66782']"
29-10-2020,33136,01585,"['89589', '48245']"
30-10-2020,57483,33678,"['12466', '88663']"
31-10-2020,92610,91294,"['74974', '10435']"
01-11-2020,97059,75778,"['45173', '32668']"
02-11-2020,32461,86683,"['23097', '23669']"
03-11-2020,53818,63246,"['34137', '06381']"
04-11-2020,16921,25081,"['45353', '75450']"
05-11-2020,96225,12416,"['88289', '70895']"
06-11-2020,44571,02894,"['63559', '57593']"
07-11-2020,00356,90783,"['40070', '72208']"
08-11-2020,46411,72709,"['26921', '03947']"
09-11-2020,20047,89458,"['47637', '25831']"
10-11-2020,37874,19947,"['17462', '43759']"
11-11-2020,56842,11147,"['93691', '82071']"
12-11-2020,44516,34627,"['29627', '14586']"
13-11-2020,88287,11204,"['38454', '25196']"
14-11-2020,28106,60882,"['48546', '52051']"
15-11-2020,76818,88295,"['83723', '82962']"
16-11-2020,41130,71594,"['03687', '04444']"
17-11-2020,82093,69778,"['59629', '07118']"
18-11-2020,88630,85630,"['22088', '68543']"
19-11-2020,17017,78604,"['97067', '81162']"
20-11-2020,92780,23593,"['46273', '78703']"
21-11-2020,20561,85947,"['48885', '66191']"
22-11-2020,61596,76599,"['79007', '78171']"
23-11-2020,00843,22152,"['99947', '89793']"
24-11-2020,52664,19501,"['56805', '96006']"
25-11-2020,72036,58061,"['18654', '40402']"
26-11-2020,23071,41054,"['69286', '72458']"
27-11-2020,23126,31552,"['98728', '16205']"
28-11-2020,10764,86559,"['69864', '81977']"
29-11-2020,83669,46822,"['59811', '96755']"
30-11-2020,05104,26356,"['66484', '45998']"
01-12-2020,74507,71909,"['13971', '76350']"
02-12-2020,52117,24378,"['40432', '19074']"
03-12-2020,29911,14557,"['86320', '87464']"
04-12-2020,95549,57855,"['30983', '43987']"
05-12-2020,59405,42480,"['09839', '36404']"
06-12-2020,50553,35489,"['45561', '95504']"
07-12-2020,09929,10730,"['74958', '06374']"
08-12-2020,06320,13198,"['27307', '28417']"
09-12-2020,92041,40510,"['91382', '09509']"
10-12-2020,24835,15602,"['56474', '81046']"
11-12-2020,46551,98348,"['38049', '24426']"
12-12-2020,09945,82418,"['42350', '86213']"
13-12-2020,08528,69066,"['88086', '18326']"
14-12-2020,45776,48389,"['51239', '24474']"
15-12-2020,61681,08876,"['44011', '07975']"
16-12-2020,16363,07856,"['30685', '50833']"
17-12-2020,12950,54592,"['56852', '38897']"
18-12-2020,27054,73286,"['06974', '12931']"
19-12-2020,20370,81636,"['66257', '15846']"
20-12-2020,45188,02038,"['01593', '31090']"
21-12-2020,27693,82712,"['24393', '73460']"
22-12-2020,81613,23662,"['44579', '49780']"
23-12-2020,80188,42915,"['70628', '29295']"
24-12-2020,79993,59755,"['48925', '26497']"
25-12-2020,36287,56591,"['36172', '15322']"
26-12-2020,80287,96436,"['12301', '64627']"
27-12-2020,85971,38070,"['13420', '19315']"
28-12-2020,07690,80623,"['21234', '90127']"
29-12-2020,63111,97528,"['50982', '14050']"
30-12-2020,57905,52634,"['59730', '35303']"
31-12-2020,42050,71602,"['46241', '14507']"
01-01-2021,78885,61981,"['32168', '74990']"
02-01-2021,20681,89427,"['32886', '74910']"
03-01-2021,43132,27110,"['95760', '90752']"
04-01-2021,42988,92795,"['19046', '79580']"
05-01-2021,19376,05036,"['43342', '31276']"
06-01-2021,90402,75947,"['74911', '44677']"
07-01-2021,09854,15562,"['28845', '15681']"
08-01-2021,00726,05627,"['70149', '28426']"
09-01-2021,82064,08356,"['61215', '80388']"
10-01-2021,48146,63172,"['06185', '24165']"
11-01-2021,05507,94780,"['28367', '95448']"
12-01-2021,16592,87355,"['93491', '45401']"
13-01-2021,02769,38216,"['11276', '94309']"
14-01-2021,51338,88232,"['52762', '16210']"
15-01-2021,68285,63497,"['51148', '40526']"
16-01-2021,12046,58127,"['13716', '13938']"
17-01-2021,55095,58464,"['65216', '77011']"
18-01-2021,92549,96884,"['06158', '89877']"
19-01-2021,23677,32856,"['88201', '31483']"
20-01-2021,60545,94248,"['55911', '27740']"
21-01-2021,21331,54409,"['06619', '35655']"
22-01-2021,09264,84081,"['02515', '40551']"
23-01-2021,57860,70031,"['56407', '68115']"
24-01-2021,45883,11884,"['06052', '25341']"
25-01-2021,00157,76628,"['49479', '57764']"
26-01-2021,33079,24509,"['50297', '32684']"
27-01-2021,45756,54147,"['75465', '16811']"
28-01-2021,92020,19071,"['14801', '69525']"
29-01-2021,40169,74085,"['03024', '33253']"
30-01-2021,71209,55959,"['82657', '07301']"
31-01-2021,17386,73899,"['44181', '28727']"
01-02-2021,54782,33824,"['75934', '75198']"
02-02-2021,15759,94632,"['87665', '00106']"
03-02-2021,76349,68400,"['16475', '50706']"
04-02-2021,48218,12833,"['42952', '42457']"
05-02-2021,48520,61417,"['61323', '88532']"
06-02-2021,37427,81178,"['95907', '38690']"
07-02-2021,25119,49164,"['03470', '86957']"
08-02-2021,42991,58433,"['63925', '29882']"
09-02-2021,38792,02990,"['56382', '59467']"
10-02-2021,04629,65961,"['20300', '66822']"
15-02-2021,56286,33164,"['94890', '93914']"
16-02-2021,11503,24958,"['42653', '30557']"
17-02-2021,05177,48772,"['45665', '66608']"
18-02-2021,81910,69529,"['30363', '09808']"
19-02-2021,11103,91506,"['14103', '96867']"
20-02-2021,70030,44389,"['90433', '47790']"
21-02-2021,57607,09740,"['59920', '25777']"
22-02-2021,77708,39543,"['90233', '40768']"
23-02-2021,17110,80128,"['97658', '76413']"
24-02-2021,93315,73168,"['22638', '92974']"
25-02-2021,35855,42177,"['20074', '32589']"
26-02-2021,55600,59302,"['78836', '71711']"
27-02-2021,26313,85377,"['05722', '96218']"
28-02-2021,30398,04743,"['50110', '27282']"
01-03-2021,91577,25687,"['04579', '10568']"
02-03-2021,87462,45915,"['16169', '64606']"
03-03-2021,63410,84221,"['24769', '36622']"
04-03-2021,96100,19162,"['39809', '24663']"
05-03-2021,66992,16935,"['68659', '92257']"
06-03-2021,61918,27134,"['95645', '62513']"
07-03-2021,38433,63732,"['42264', '13340']"
08-03-2021,20859,94188,"['93709', '21638']"
09-03-2021,97736,20562,"['27019', '73169']"
10-03-2021,61639,24142,"['11092', '41976']"
11-03-2021,47526,10974,"['99990', '60827']"
12-03-2021,85439,84075,"['78489', '29688']"
13-03-2021,95112,99964,"['03193', '68084']"
14-03-2021,45587,03881,"['53681', '78181']"
15-03-2021,61924,41098,"['87157', '15729']"
16-03-2021,60054,12253,"['02974', '61732']"
17-03-2021,72152,15227,"['32168', '99294']"
18-03-2021,37733,24313,"['59790', '11746']"
19-03-2021,55324,18908,"['70030', '91699']"
20-03-2021,97438,44237,"['60631', '28008']"
21-03-2021,68140,32393,"['93839', '56403']"
22-03-2021,54315,31746,"['44561', '88751']"
23-03-2021,85639,30063,"['95547', '39052']"
24-03-2021,66438,51768,"['94610', '10009']"
25-03-2021,44219,17263,"['51334', '63993']"
26-03-2021,72042,68063,"['25311', '29971']"
27-03-2021,54601,19860,"['88938', '20323']"
28-03-2021,31295,59812,"['31307', '66685']"
29-03-2021,03000,18982,"['14238', '86862']"
30-03-2021,49255,06649,"['23570', '97897']"
31-03-2021,06996,71928,"['98750', '07368']"
01-04-2021,50393,32377,"['57201', '27882']"
02-04-2021,01795,99808,"['58658', '90819']"
03-04-2021,44110,17391,"['84538', '71325']"
04-04-2021,16278,81109,"['23429', '38390']"
05-04-2021,06800,39251,"['67548', '65874']"
06-04-2021,94659,32768,"['30053', '32214']"
07-04-2021,97675,55528,"['55398', '29818']"
08-04-2021,63904,56240,"['48222', '98507']"
09-04-2021,52070,62954,"['37646', '88703']"
10-04-2021,85313,55176,"['79036', '28577']"
11-04-2021,29013,13305,"['66567', '43230']"
12-04-2021,86039,31145,"['18498', '98082']"
13-04-2021,29405,36317,"['91982', '14199']"
14-04-2021,74295,92214,"['85483', '61076']"
